"Source:","http://www.lib.berkeley.edu/MRC/cedlectures.html"
"
UC Berkeley
"[Celik, Zeynep] Hidden Faces of Modernism","A lecture by noted architect Zeynep Celik, professor in the School of Architecture at New Jersey Institute of Technology. Lecture is accompanied by slides of recent and past projects. This event took place at the University of California, Berkeley on October 22, 2003. 67 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM51"">Video/C MM51Ж","UC Berkeley
College of Environmental Design Lectures"
"[Choksombatchai, Raveevarn] Gray Matters","A lecture presented by Raveevarn Choksombatchai, associate professor of architecture at the University of California, Berkeley and partner of VeeV Studio in San Francisco. This event took place at the University of California, Berkeley on March 21, 2007. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7882"">DVD 7882Ж","UC Berkeley
College of Environmental Design Lectures"
"[Cloepfil, Brad] The Projects of Allied Works","A lecture presented by architect Brad Cloepfil of the Portland, Oregon firm Allied Works. The 2002 Howard A. Friedman Visiting Professor at UCB, Cloepfil discusses the firm's projects including the designing and building of the museum The Forum for Contemporary Art in St. Louis, Missouri. This event took place at the University of California, Berkeley on October 16, 2002. 70 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9543"">Video/C 9543Ж","UC Berkeley
College of Environmental Design Lectures"
"[Coen, Shane]The New Landscape of Collaboration","This lecture is presented by Shane Coen of the firm Coen + Partners, a nationally renowned landscape architecture practice with studios in Minneapolis and New York City.This event took place at the University of California, Berkeley on October 12, 2009. 70 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5957"">DVD X5957Ж","UC Berkeley
College of Environmental Design Lectures"
"[Crawford, Margaret]Unfinished Business: Thirty Years Later","A lecture by Margaret Crawford, professor of Urban Design and Planning Theory at the Harvard Graduate School of Design. She teaches courses in the history and theory of urban development, planning and design with her research interests focusing on the evolution, uses and meanings of urban space. This event took place at the University of California, Berkeley on October 29, 2003. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM52"">Video/C MM52Ж","UC Berkeley
College of Environmental Design Lectures"
"[Creedon, Roddy and Till, Gretchen]The Importance of Remembering The National AIDS Memorial Design Competition.","Presentation: Roddy Creedon, Gretchen Till ; panelists: Walter Hood, Reed Kroloff, Ken Ruebuch, Roddy Creedon. Presentation and panel discussion by jurors from the National Aids Memorial Design Competition, an open competition inviting architects to design a memorial for the National AIDS Memorial Grove in San Francisco. This event took place at the University of California, Berkeley on April 6, 2005. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM672"">Video/C MM672Ж","UC Berkeley
College of Environmental Design Lectures"
"[Crompton, Dennis]Archigram Experimental Architecture, 1961-74 and Beyond","A lecture by Dennis Crompton of the London based architectural group Archigram, that influenced a generation of architects and city planners all over the world. Their passion for alternative futures was inspired by new technologies and materials, the explosion in mass media and communicatin, and the leisure class they predicted would follow. All their projects were presented in colorful ""pop style"" which challenged the serious and institutional approach favored by architects until then. This event took place at the University of California, Berkeley on March 22, 2006. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5952"">DVD 5952Ж","UC Berkeley
College of Environmental Design Lectures"
"[Crousse, Jean Pierre and Barclay, Sandra]Between the Desert and the Ocean","A lecture presented in the UCB Latin America Now series, which is devoted to the work of a new generation of Latin American architects. This program features a lecture by Peruvian architects Sandra Barclay and Jean Pierre Crousse, of the firm Barclay & Crousse Architecture in Lima, Peru. This event took place at the University of California, Berkeley on November 8, 2006. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7230"">DVD 7230Ж","UC Berkeley
College of Environmental Design Lectures"
"[Cruz, Teddy]Border Postcards: Chronicles from the Edge.","A lecture presented by architect Teddy Cruz, principal of Estudio Teddy Cruz and faculty member at Woodbury University's School of Architecture in San Diego. Cruz's project ""Border postcards,"" attempts to provide a bridge between architectural and urban design theory and practice. He has pursued this focus on housing and urban development of the San Diego-Tijuana borderlands for several years. This event took place at the University of California, Berkeley on February 11, 2004. 69 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM326"">Video/C MM326Ж","UC Berkeley
College of Environmental Design Lectures"
"[Cuff, Dana] Domestic Diagrams: The Architecture of Social Order(CED Architecture Lecture Aeries)","A lecture by Dana Cuff, Professor of Achitecture and Urban Design at the University of California, Los Angeles, and a principal of the consulting firm Community Design Associates. Lecture is accompanied by slides of recent and past projects. This event took place at the University of California, Berkeley on October 1, 2003. 66 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM48"">Video/C MM48Ж","UC Berkeley
College of Environmental Design Lectures"
"[Culvahouse, Tim]CED Visiting Professor Lectures, 2007","The Tennessee Valley authority: design and persuasion / Tim Culvahouse (Friedman visiting professor) -- Territorial tactics / Jeannette Kuo (Maybeck fellow) Lectures presented by Friedman visiting professor Tim Culvahouse and Maybeck visiting fellow, Jeannette Kuo. This event took place at the University of California, Berkeley on February 21, 2007. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7875"">DVD 7875Ж","UC Berkeley
College of Environmental Design Lectures"
"[Denari, Neil]Cultural Ergonomics: Shrinkwrapping Vague Things","This lecture is presented by Esherick Visiting Professor Neil Denari, principal of Neil M. Denari Architects in Los Angeles. This event took place at the University of California, Berkeley on September 26, 2007. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9301"">DVD 9301Ж","UC Berkeley
College of Environmental Design Lectures"
"[Dust, Fred] Environments Lead IDEO","A lecture by Fred Dust, founder of the international design company IDEO, whose projects focus on the design and development of new kinds of spaces that create meaningful experiences for all the people who will use and interact with them. Lecture is accompanied by slides of recent and past projects. This event took place at the University of California, Berkeley on November 12, 2003. 51 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM54"">Video/C MM54Ж","UC Berkeley
College of Environmental Design Lectures"
"[Dykers, Craig]Recently, Thoughts on Architecture and the Works of Sn?hetta","A lecture presented by Craig Dykers, founding partner of the architecture and landscape practice Sn?hetta of Oslo, Norway. For nearly twenty yeas he has been involved in the design of several major projects around the world including his role as a co-designer for the new national opera in Norway, the new library of Alexandria in Egypt and the Norwegian Embassy in Berlin. This event took place at the University of California, Berkeley on November 30, 2005. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5925"">DVD 5925Ж","UC Berkeley
College of Environmental Design Lectures"
"[Dytham, Mark] Hybrid Heaven","A lecture by Japanese Architect Mark Dytham of Tokyo-based Klein Dytham Architecture. The firm is noted for it witty and creative projects using a variety of unusual materials, such as the fake-snakeskin of the Chu-Coo chair, silvery inflatable canopies for Virgin airlines, and a gummy-bear like synthetic rubber for an Italian outdoor bathtub. Their work is colorful, cleanly organized and highly popular with clients from advertising agencies to artists. This event took place at the University of California, Berkeley on March 19, 2003. 72 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9555"">Video/C 9555Ж","UC Berkeley
College of Environmental Design Lectures"
"[Dytham, Mark and Klein, Astrid]Klein Dytham Architecture: Architecture is More","A lecture presented by European architects Astrid Klein and Mark Dytham who have been based in Tokyo for nearly twenty years. Their earlier work with interactive construction fences and sinuous furnishings has yielded to an unusual and eclectic architectural practice. This event took place at the University of California, Berkeley on March 8, 2006. 65 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5950"">DVD 5950Ж","UC Berkeley
College of Environmental Design Lectures"
"[Eggener, Keith]Latin American Architecture: Beyond Critical Regionalism","A lecture presented in the UCB Latin America Now series, which is devoted to the work of a new generation of Latin American architects. This program features a lecture by Professor Keith Eggener of the University of Missouri-Columbia, Dept. of Art history and Archaeology. This event took place at the University of California, Berkeley on September 27, 2006. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7224"">DVD 7224Ж","UC Berkeley
College of Environmental Design Lectures"
