"Source:","http://www.lib.berkeley.edu/MRC/frenchculture.html"
"
French History and CultureContents:
"
"â€¢149; Ѭ href=""#history"">French History and Culture:Ж

â€¢149; Ѭ href=""#arts"">Art, Architecture, Music, Dance, TheaterЖ
"[Monet, Claude] Monet: Legacy of Light(Portrait of an Artist; 40)","Letters, journals, interviews and timeless images profile this Impressionist's lifelong quest to capture on canvas nature's kaleidoscope of light and color. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6586"">Video/C 6586Ж","French History and Culture"
"[Picasso, Pablo] Picasso: The Man and His Work.","c1986. 45 min each installment","â€¢149; Picasso: The Man and His Work. Part 1, 1881-1937. Starting in 1896, when he was only 15, this program traces Picasso's artistic development, exploring his work as a youth, from the Blue period to the Pink period and his first steps into Cubism in 1906. Picasso then moved on to the Chrysteline period where he went from analytical to synthetic Cubism until entering his Neoclassical period in 1918. Culminates with the painting of his masterpiece ""Guernica"" in 1937. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9363"">Video/C 9363Ж","â€¢149; Picasso: The Man and His Work. Part 2, 1938-1973. This film chronicles the later years of Pablo Picasso's life starting from 1938 and ending in 1973 with his death. Through the war years, Picasso's work moved on to include ceramics, sculpture, pottery and graphics. The period from 1946-1973 is made up primarily of home movies, showing his relationships with his children and the women in his life, and emphasizing the enormous amount of work he accomplished during the last 20 years of his life. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9364"">Video/C 9364Ж","French History and Culture"
"[Picasso, Pablo] Le Mystere Picasso (The Mystery of Picasso)","A historical document exploring the mind and motivations of Picasso as he creates over 15 works before the camera. c1986. 77 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1353"">Video/C 1353Ж","French History and Culture"
"[Picasso, Pablo] Picasso, War, Peace, Love","Deals with the works of Pablo Picasso from Guernica onward, showing photographs from several museums, galleries, and private collections. Presents live sequences of the artist in his studio near Cannes. c1986. 51 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1011"">DVD 1011Ж","French History and Culture"
"[Picasso, Pablo] Picasso: A Painter's Diary.","The personal and professional life of Pablo Picasso shown through his work and his own comments and those of his family and friends. c1980. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3388"">Video/C 3388Ж","French History and Culture"
"[Picasso, Pablo] 13 Days in the Life of Picasso.","Picasso said that his work should be seen as a kind of autobiography written for himself. The women in Picasso's life figured extensively as they were his models, as he drew and painted them again and again. This documentary presents 13 days in the life of Picasso exploring the defining moments of the creator of some of the greatest works of the 20th century. Interviews with Picasso's son and daughter contrast a portrait of the man through his paintings, diary extracts and sketches. 1999. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8401"">Video/C 8401Ж","French History and Culture"
"Point Counterpoint: The life and Work of Georges Seurat, 1859-1891 (1979)","Provides a close look at Seurat's pointillist technique and masterful draftsmanship, highlighted by conversations with modern artists Henry Moore and Bridget Riley. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1101"">Video/C 1101Ж","French History and Culture"
"[Rodin, Auguste] Rodin.","At his death, Rodin was the most famous artist in the western world but the critical reception of his works was far from positive. As a sculptor making public works, Rodin was exposed to public criticism for the modernity of his works and the explicit sexuality of his sculptures which were often seen as scandalous. This film examines the response to Rodin's sculptures during his life by both the critics and the public. Narrator: Annie Wagner. 1991. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6457"">Video/C 6457Ж","French History and Culture"
"[Rodin, Auguste] Auguste Rodin. (Romantic Versus Class Art)","Kenneth Clark discusses the works of French sculptor Auguste Rodin. 1974. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+820"">Video/C 820Ж","French History and Culture"
"[Rousseau, Henri] Henri Rousseau: The Toll-keeper's Secret","Traces the life of ""Customs Officer Rousseau,"" as he was mockingly called, separating the facts from the artist's fantasies and self-deceptions. Many of his canvases--primitives that reverberate with a darkly powerful emotion--are examined. Both admired and the butt of jokes, Rousseau pre-figured the Surrealists' ideal of the untaught genius whose eyes could see farther than those of a trained artist. 2001. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1972"">DVD 1972Ж","French History and Culture"
