"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"Can't You Take a Joke?","Presents a series of vignettes in which boy meets boy and girl meets girl, using the romantic music and visuals of Hollywood film noir to explore the ideal of love at first sight. A film by Viki Dun. c1991. 14 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9131"">Video/C 9131Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc234"">s/c234Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Carmelita Tropicana: Your Kunst Is Your Waffen","Carmelita Tropicana, a lesbian Latina performance artist who supports herself as a building super on New York's Lower East Side, winds up in jail with three other women after a protest at an abortion clinic. Humorous monologues and campy production numbers ensue. Performers: Carmelita Tropicana, Annie Iobst, Sophia Ramos, Livia Daza Paris. A film by Ala Troyano. 1994. 28 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1729"">DVD X1729Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8354"">Video/C 8354Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Castro. (Neighborhoods, The Hidden Cities of San Francisco)","Chronicles the history of the Castro district from a working class neighborhood to the center of gay and lesbian life in San Francisco. Written and directed by Peter L. Stein. 1997.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6785"">DVD X6785Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5004"">Video/C 5004Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Celluloid Closet.","Footage from over 120 films shows the changing face of homosexuality (both male and female) in the movies from cruel stereotypes to covert love to the activist triumphs of the 1990s. Many noted actors, writers and commentators provide funny and insightful anecdotes regarding the history of the role of gay men and lesbians in the movies. Based on: Celluloid closet / Vito Russo (UCB Main PN1995.9.H55 R8 1987; UCB Moffitt PN1995.9.H55 R8 1987) 102 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+706"">DVD 706Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4717"">Video/C 4717Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#closet"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Changing Our Minds: The Story of Dr. Evelyn Hooker.","Examines the life and personal views of Dr. Evelyn Hooker, a psychologist who has spent her life researching the causes of homosexual behavior. Director, Richard Schmiechen. Dist.: Ѭ href=""http://www.frameline.org"">FramelineЖ. 1992. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3430"">Video/C 3430Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Chained Girls(1965)","Director, Joseph P. Mawra. Who and what is a lesbian? Where can they be found? Are they happy with their lives? These are a few of the probing questions asked in this ""documentary"" ""expose"" of NYC dykes and femmes. 61 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2536"">DVD 2536Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0123652/"">Credits and other information from the Internet Movie DatabaseЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Cockettes.","This engaging tribute looks at the rise and fall of a San Francisco theatrical troupe called The Cockettes between the years 1969 and 1972. The sensation of the hippie movement in San Francisco, they were described as ""hippie and freak drag queens,"" people who were allowed to live at the end of their imaginations. Uses interviews and vintage footage to revisit this lost corner of recent cultural history. A film by David Weissman & Bill Weber. 2001. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+222"">DVD 222Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Coming Out Under Fire.","Gay men and lesbians who were in the United States military service during World War II discuss their experiences with the response of the military establishment towards their sexual orientation. Producer/director, Arthur Dong. Based on Allan Berube's Coming Out Under Fire: The History of Gay Men and Women in World War Two (New York: Free Press, c1990. (UCB Ed/Psych D769.2 .B46 1990; UCB Main D769.2 .B46 1990; UCB Moffitt D769.2 .B46 1990). 71 min.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4423"">DVD 4423Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3447"">Video/C 3447Ж","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#fire"">See separate bibliography of reviews and articles about this filmЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Common Threads.","The story of the AIDS Memorial Quilt established by the San Francisco NAMES Project Foundation in 1987 to commemorate the lives lost to AIDS. From the thousands memorialized in the quilt, profiles five individuals--including a recovered IV drug user, a former Olympic decathlon star and a boy with hemophilia--whose stories reflect the diversity and common tragedy of those who have died from AIDS. Celebrates their unique personalities and achievements, interweaving these personal histories with a chronology of the epidemic's development and the negligence of the government. Directed by Rob Epstein, Jeffrey Friedman. 1990. 80 min.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2761"">DVD 2761Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1774"">Video/C 1774Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
