"Source:","http://www.lib.berkeley.edu/MRC/mixedracevid.html"
"
People of Mixed Race
Interracial Marriage/Dating/Families



"
"Just Mom and Me","Single motherhood in the U.S. is not just the experience of poor, uneducated women or minority teenagers, as often depicted by the media and the press. This film examines the lives of five mothers, whose circumstances are vastly different, who are raising children on their own: a widow raising a bi-racial daughter, A high school dropout raising her child, a lawyer balancing motherhood and a career, a middle-aged college student raising 3 young children, and a single woman who opted for artificial insemination to have a child. 1998. 60 min. 

Related web sites:
â€¢149;Ѭ href=""http://filmakers.com/indivs/JustMom.htm"">Description from Filmakers Library catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6520"">Video/C 6520Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Juxta.","Observes the deep and complex psychological effects of racially mixed children of Japanese women and American servicemen in the 1950's and mid 1980's. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2157"">Video/C 2157Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Khush Refugees","The film focuses on San Francisco's gay community where two exiles, Rahul, an immigrant from India, and Dante, an ex-marine from suburban Ohio, try to assimilate in this new foreign culture. 32 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.98&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3822"">Video/C 3822Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Love, Culture and the Kitchen Sink.","Takes a personal look at the lives of four cross-cultural couples in Canada at different stages in their lives and how their cultural differences affect them and their children. Ben, an English Canadian, and Janet, a Chinese Canadian, are just married. Alex, an East Indian from South Africa, and Maria, a Portuguese, have been married many years, and their children are now married. Mariko, the daughter of a Canadian mother and Japanese father, has made two marriages, one to a Japanese, the second to a Canadian Indian. Shireen, the daughter of Alex and Maria, and her husband, Jason, the son of a Polish Canadian mother and an African American father, discuss the possibilities of heritage for their new son, Jamal. 2001. 48 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9760"">Video/C 9760Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Made in China","Follows the filmmaker on an international journey to uncover his white American father's remarkable childhood in pre-Mao China. This personal documentary uncovers the story of Caucasian children who grew up with a foot in two cultures, spoke Chinese as a first language, and lived with war and unrest outside their doorstep. As he searches to understand his father he discovers what 'home' really means. Written, produced and directed by John Helde. c2008. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5003"">DVD X5003Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Mah Jong Orphan.","A real life film focusing on the widening chasm between a Chinese mother, Suzane, a first generation immigrant, and her daughter, Lilly, who is eager to fit in with her Caucasian friends and rejects her mother's values. Suzan talks of her disappointment at Lilly's choice of a non-Chinese husband, while Lilly, to her own surprise discovers a need to pass on her cultural heritage to her son, who eventually heals the rift between the generations. 45 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3962"">Video/C 3962Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Memories of a Forgotten War","The Philippine-American War of 1899 was one of the most violent imperial wars of the 20th century and set the precedent for U.S. foreign policy in Southeast Asia, yet few remember the details of the war or why it was fought. The film is told from the unique perspective of the film's co-director, Camilla Benolirao Griggers, who draws parallels between the history of war and violence between the two countries and her own family history as the granddaughter of a U.S. calvary soldier and a Filipina seamstress. A film by Camilla Benolirao Griggers and Sari Raissa Lluch Dalena. Dist.: Ѭ href=""http://www.twn.org/"">Third World Newsreel.Ж 2001. 63 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9279"">Video/C 9279Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Mixed Blood.","Directed by Valerie Soe. Takes a personal view of interracial relationships between Asian Americans and non-Asian Americans and looks at whether such choices have public and political implications. 20 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.115&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2834"">Video/C 2834Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Mixed Feelings.","Through interviews with five U.C. Berkeley students and teachers of mixed ethnic heritage, the producer illuminates the experience of what it is like to grow up part Asian in American society. Those interviewed offer personal anecdotes of their families, how they initially perceived their own cultural identities and how they see themselves today. Director/producer, Mikko Jokela. 1995. 40 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.116&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6613"">Video/C 6613Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"More to the Chinese Side.","""I used to think that we were the typical Asian American family,"" muses William Gow, a fifth-generation Chinese American of biracial descent, as several family members describe instances of how they are commonly mistaken for other ethnicities. Intrigued by thesemisperceptions, Gow invites his parents and other relatives to share their experiences and views on how they see themselves in relation to the larger Asian American community. His Caucasian mother and Chinese father provide insights into raising biracial children; his Chinese cousin observes how being adopted repeatedly throws off people's expectations of him. Interspersed with historical details about Chinese immigration to the U.S., the interviews warmly touch upon the complexities of a family negotiating ethnic identities within an Asian American community that is constantly changing. 17 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM298"">Video/C MM298Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Multiracial Identity","Multiracial people are the fastest growing demographic in America, yet there is no official political recognition for mixed-race people. This film explores the social, political, and religious impact of the multiracial movement and the lived experience of being multiracial. Directed by Brian Chinhema. c2010. 77 min. version ; 56 min. version. 

Related web sites:
â€¢149; Ѭ href=""http://www.bullfrogfilms.com/catalog/mri.html"">Description from Bullfrog Films catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6432"">DVD X6432Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
