"Source:","http://www.lib.berkeley.edu/MRC/chuckjones.html"
"
The Films of Chuck Jones"
"
"Dog Gone Modern (1939)","The Two Curious Puppies visit a model home with a panoply of modern inventions, including an annoying robot that sweeps up anything that touches the floor. Video Disc 165"
"Dog Gone South (1950)","Ever in search of a master, no matter how unwilling, Charlie winds up on a plantation down South and tries to force himself on the owner, a Confederate Colonel. Unfortunately, the Colonel already has a pet bulldog, ""Belvedere."" ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X942"">DVD X942Ж"
"Dog Tired (1942)","Two curious pups, vying over a bone, chase each other into the city zoo and upset the balance among the regulars. They have hilarious (and dangerous) encounters with the kangaroo, hippo, stork, lion, monkey, love birds, and even a porcupine. The puppies' confrontations with the various animals keep the laughing hyena in stitches. The hyena supplies the perfect punch line. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8515"">DVD 8515Ж"
"Don't Give Up the Sheep (1953)","A sheepdog thwarts the efforts of a thieving wolf whose tricks include altering the time clock, hiding in a bush, imitating Pan, digging a tunnel, unleashing a wildcat and disguising himself as the dog's coworker. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6006"">DVD 6006Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"The Dover Boys at Pimento University or The rivals of Roquefort Hall (1942)","Two curious pups, vying over a bone, chase each other into the city zoo and upset the balance among the regulars. They have hilarious (and dangerous) encounters with the kangaroo, hippo, stork, lion, monkey, love birds, and even a porcupine. The puppies' confrontations with the various animals keep the laughing hyena in stitches. The hyena supplies the perfect punch line. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8518"">DVD 8518Ж"
"The Draft Horse(1942)","Directed by Chuck Jones. Warner Brothers. A farm horse tries to enlist in the army, but despite his virtuoso display of wartime histrionics, he's rejected when he flunks the physical. Dejected, he wanders into a mock battlefield, which tells him what war is really like. ; also included on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X942"">DVD X942Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6276"">DVD 6276Ж"
"Drip-Along Daffy (1951)","Daffy Duck plays a western hero, but things don't go as he hoped in a one horse town. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8515"">DVD 8515Ж"
"Duck Amuck (1953)","""Stand back, musketeers!"" swordsman Daffy cries, surrounded by Dumasian scenery, credits and music. ""They shall sample my blade!"" But within a few thrusts and touches, Daffy notices that the background behind him has ended: ""Hey, psst, whoever's in charge here, the scenery, where's the scenery?"" A paintbrush comes across the screen and puts down a farmyard setting. Daffy leaps back in his musketeer garb, realizes it's inappropriate, and returns with overalls and hoe, then notices that the scenery has changed into a North Pole setting: ""Would it be to much to ask if we could make up our minds, hmmm?"" And so it goes. After changing from many classic scenes and gags, Daffy yells, ""All right! Enough is enough! This is the final, the very, very last straw! Who is responsible for this? I demand that you show yourself! Who are you?"" Pull back to reveal Bugs Bunny, seated by a live-action animator's light table, admitting to the audience, ""Gee, ain't I a stinker?"" ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"Duck Dodgers in the 24 1/2th Century (1953)","Space hero Daffy battles Marvin the Martian for control of Planet X. ; also included on  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3564"">DVD 3564Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM161"">Video/C MM161Ж"
"Duck! Rabbit, Duck! (1953)","The final installment of the ""Hunting Trilogy"" once again has Elmer out hunting, while Bugs and Daffy try to con him into shooting the other. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4875"">DVD 4875Ж"
