"Source:","http://www.lib.berkeley.edu/MRC/corporationsmovies.html"
"
Corporations, Wall Street, and Sundry Capitalism
in the Movies
"While the City Sleeps (1956)","Directed by Fritz Lang. Cast: Dana Andrews, Rhonda Fleming, George Sanders, Howard Duff, Thomas Mitchell, Vincent Price, John Barrymore, Jr., Sally Forrest, James Craig, Ida Lupino. ""Bedridden Amos Kyne is owner and manager of media conglomerate Kyne Enterprises. Upon Amos' death, his son, the ineffective Walter Kyne, takes control of the business. Not wanting to do any of the work but retain the glory, Walter creates a new position - Executive Director - that person who effectively will become head of the organization. The heads of the three primary arms of the business - John Day Griffith (newspaper), Mark Loving (wire service) and Harry Kritzer (photographic service) - are those in line for the job, each who will do whatever he needs to for the appointment. Walter has decided that whoever of the three solves and reports the Lipstick Killings first will get the position. The Lipstick Killings are the murders of young women, the murderer who scrawls a note in lipstick at the murder scene after the fact. Pulitzer Prize winning author and reporter Edward Mobley is seen by most to be the real brains of the organization, although he has no desire for the top job. Although he initially will not get into the internal fight for the job, Ed, who has connections to the police department and has his own thoughts as to the psychological profile of the killer, decides to assist his old friend, John Griffith, in solving the case. In their quest, those involved do not hesitate to use the women in their lives - namely Nancy Liggett (Ed's fiancâ€¢233;e and Mark's secretary), Dorothy Kyne (Walter's wife), and Women's Affairs columnist Mildred Donner - in whatever manner they can."" [IMDB] Based on the novel The bloody spur by Charles Einstein. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6113"">DVD X6113Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0049949/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Will Success Spoil Rock Hunter? (1957)","Directed by Frank Tashlin. Cast: Jayne Mansfield, Tony Randall, Betsy Drake, Joan Blondell, John Williams, Henry Jones.Adman Rockwell P. Hunter must come up with a new idea to propel him one more rung up the corporate ladder in this satire on Madison Avenue, television and the cult of the movie star. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2391"">DVD X2391Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0051196/"">Credits and information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ



","See also:","â€¢149;Frank Tashlin / edited by Roger Garcia ; French co-editor, Bernard Eisenschitz. Locarno : â€¢201;ditions du Festival international du film de Locarno in collaboration with the British Film Institute, 1994. (Main (Gardner) Stacks PN1998.A3 T29.F7 1994)","â€¢149;Jordan, Jessica Hope. The sex goddess in American film, 1930-1965 : Jean Harlow, Mae West, Lana Turner, and Jayne Mansfield / Jessica Hope Jordan. Amherst, N.Y. : Cambria Press, 2009. (Main (Gardner) Stacks PN1995.9.F44 J67 2009)","â€¢149;O'Barr, William M. ""Hollywood Looks at Advertising."" Advertising & Society Review, Volume 12, Issue 3, 2011 Ѭ href=""http://muse.jhu.edu/journals/advertising_and_society_review/v012/12.3.o-barr.html"">Full-text of this article / review is available:UC usersЖ","â€¢149;Saxton, Martha. Jayne Mansfield and the American fifties / Martha Saxton. Boston : Houghton Mifflin, 1975. (Pacific Film Archive PN2287.M34 S2 1975)","â€¢149;Sikov, Ed. ""Living Loony Tunes: The Art of Frank Tashlin."" In: Laughing hysterically : American screen comedy of the 1950s / Ed Sikov. New York : Columbia University Press, c1994. (Main (Gardner) Stacks; PFA PN1995.9.C55 S49 1994)","â€¢149;""Will Success Spoil Rock Hunter?"" Sight & Sound, Dec2010, Vol. 20 Issue 12, p89-90, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=55538818&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Woman's World (1954)","Directed by Jean Negulesco. Cast: Clifton Webb, June Allyson, Van Heflin, Lauren Bacall, Fred MacMurray, Arlene Dahl, Cornel Wilde. ""Needing to fill the position of general manager of his company, and believing that an executive's wife is crucial to her husband's success, auto industry mogul Gifford brings three couples to New York to size up: Jerry and Carol: he hard-driven and self-reliant, she willing to use her beauty to further her husband's career; Sid and Elizabeth, he ulcer-ridden and torn between achieving success and restoring their troubled marriage, she positive that his job will kill him, but gamely agreeing to play the good wife for the duration; and down-to-earth Bill, whose good-natured Katie fears that his promotion would spell the end of their idyllic familiy existence."" [IMDB] Based on a story by Mona Williams. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3427"">vhs 999:3427Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0047680/"">Credits and information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Working Girl (1988)","Directed by Mike Nichols. Cast: Harrison Ford, Sigourney Weaver, Melanie Griffith, Joan Cusack, Alec Baldwin. A young secretary in New York named Tess McGill has the brains, looks and charm to make it big. All she needs is the right haircut, clothes and job. The opportunity arises when her classy, seductive and treacherous boss breaks a leg skiing. Tess steps into her job, her apartment and her clothes, and all sorts of witty and romantic things follow! 116 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+718"">DVD 718Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0096463"">Credits and information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Golden Globes, USA - Musical/Comedy; Best Performance by an Actress in a Motion Picture - Comedy/Musical (Melanie Griffith)



","Reviews and articles:

â€¢149;Boozer Jr., Jack. ""Wall Street: The Commodification Of Perception."" Journal of Popular Film & Television; Fall89, Vol. 17 Issue 3, p90-99, 10p
â€¢149;Cornut-Gentille, Chantal. ""Working Girl: A Case Study of Achievement by Women? New Opportunities, Old Realities."" In: Terms of endearment : Hollywood romantic comedy of the 1980s and 1990s / edited by Peter William Evans and Celestino Deleyto. Edinburgh : Edinburgh University Press, c1998. (Main (Gardner) Stacks PN1995.9.C55 T47 1998)
â€¢149;Greenberg, Harvey Roy. ""Working Girl: Leveraged Sell-Out."" Journal of Popular Film & Television; Spring89, Vol. 17 Issue 1, p20-23, 4p
â€¢149;Tasker, Yvonne ""Cross-dressing, aspiration, and transformation."" In: Working girls : gender and sexuality in popular cinema / Yvonne Tasker. London ; New York : Routledge, 1998. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10056060"">Full text available onlineЖ [UCB users only]; print: Main (Gardner) Stacks; PFA PN1995.9.W6 T36 1998)
â€¢149;Traube, Elizabeth G. ""Transforming heroes: Hollywood and the demonization of women."" Public Culture, 1991, Vol. 3 Issue 2, p1-28, 28p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=BFLI920852180096537&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Winn, J. Emmett. ""Moralizing Upward Mobility: Investigating the Myth of Class Mobility in Working Girl."" Southern Communication Journal, Fall2000, Vol. 66 Issue 1, p40, 12p Ѭ href=""http://www.informaworld.com/smpp/ftinterface~content=a910109605~fulltext=713240930~frm=content"">Full-text of this article / review is available:UC users onlyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The World Moves On(1934)","Directed by John Ford. Cast: Madeleine Carroll, Franchot Tone, Reginald Denny, Sig Ruman, Louise Dresser, Stepin Fetchit. Covers over one hundred years in the lives of two Louisiana familes, The Girards, of French extraction, and the Warburtons, formerly of Manchester. Forming an alliance by marriage in 1825, the families rapidly corner the cotton business in the South. Years later, three of Girard/Warburton sons split up to head business operations in England, France and Germany: as a result, descendants of the original families find themselves fighting on opposite sides during WWI. Surviving the war, Richard, the last of the descendants becomes a sharkish Wall Street speculator in the 1920s, ultimately losing his fortune in the Wall Street Crash. Bloody but unbowed, Richard and his wife Mary cut their losses and return to their ancestral home, to start all over again. 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9368"">DVD 9368Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0026008/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Yella (Germany, 2007 )","Director Christian Petzold. Cast: Nina Hoss, Devid Striesow, Hinnerk Schâ€¢246;nemann, Burghart Klauâ€¢223;ner, Barbara Auer. Following a near-death experience, a young woman flees her East German hometown and failed marriage to start over in Hanover. By chance she finds work with an ambitious and determined executive and enters a ruthless world of big business and cut-throat boardroom deals. But just as she seems poised to fully realize her ambitions, she finds herself haunted by truths from the past that threaten to destroy her new life. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2355"">DVD X2355Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0806686/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Matheou, Demetrios. ""Yella."" Sight & Sound, Oct2007, Vol. 17 Issue 10, p82-82, 3/4p; Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=26938154&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Mâ€¢246;ller, Olaf; Wood, Jason. ""Vanishing point."" Sight & Sound; Oct2007, Vol. 17 Issue 10, p40-42, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=26938118&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Petzold, Christian. ""Many rivers to cross."" Sight & Sound; Oct2007, Vol. 17 Issue 10, p42-42, 2/3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=26938119&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Romney, Jonathan. ""Yella."" Sight & Sound, Sep2007, Vol. 17 Issue 9, p20-20, 1/4p;Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=26316344&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Wood, Jason; Stackelberg, Verena von. ""Many Rivers to Cross."" Sight and Sound, vol. 17, no. 10, pp. 42, Oct 2007Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00470967"">Full-text of this article / review is available:UC users onlyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"You Can't Take it With You (1938)","Directed by Frank Capra. Cast: Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold, Mischa Auer, Ann Miller. The antics of an eccentric family and the evils of big business come to the fore in this comedy. The hilarity hits fever pitch when the daughter in this wacky family falls for a rich young man and brings him home. An Oscar winner for best picture and best director. 126 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7188"">DVD 7188Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0030993"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Academy Award - Best Picture; Best Director


","Ѭ href=""http://www.lib.berkeley.edu/MRC/capra.html#canttakeit"">See separate bibliography of reviews and articles about this filmЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"You've Got Mail! (1998)","Directed by Nora Ephron. Cast: Tom Hanks, Meg Ryan, Parker Posey, Jean Stapleton, Dave Chappelle, Steve Zahn, Dabney Coleman, Greg Kinnear. A romance in which superstore book chain magnate Hanks and cozy children's bookshop owner Ryan are anonymous e-mail cyberpals who fall head-over-laptops in love, unaware that they are combative business rivals. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3016"">DVD 3016Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0128853/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Asenas, Jennifer J. ""Remakes to Remember: Romantic Myths in Remade Films and Their Original Counterparts."" In: Critical thinking about Sex, love, and romance in the mass media : media literacy applications / edi Mahwah, N.J. : Lawrence Erlbaum Associates, 2007. (Main (Gardner) Stacks HQ801 .C7397 2007)
â€¢149;Christensen, Jerome. ""Taking It to the Next Level: You've Got Mail, Havholm and Sandifer."" Critical Inquiry; Autumn2003, Vol. 30 Issue 1, p198, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=11099768&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Eken, Ali Nihat ""'You've got mail': a film workshop."" ELT Journal (2003) 57 (1): 51-59. Ѭ href=""http://eltj.oxfordjournals.org/content/57/1/51.short"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Morrison, Aimee. ""Newfangled Computers And Old-Fashioned Romantic Comedy: You've Got Mail's Futuristic Nostalgia."" Canadian Journal of Film Studies, Spring2010, Vol. 19 Issue 1, p41-58, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=52525701&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Pugh, Tison. ""The Perilous Pleasures of the Cyberpastoral: ""Electric Dreams"" and ""You've Got Mail."" Studies in the Humanities, Jun2007, Vol. 34 Issue 1, p1-24, 24p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=28157833&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Evil Fictitious Corporations","â€¢149; Umbrella Corp. in Resident Evil ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7678"">DVD 7678Ж","â€¢149; Weyland-Yutani Corp. in Alien ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2180"">DVD 2180Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:410"">vhs 999:410Ж","â€¢149; Tyrell Corporation in Blade Runner ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9224"">DVD 9224Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:540"">vhs 999:540Ж","â€¢149; Cyberdyne Systems in The Terminator ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+43"">DVD 43Ж","â€¢149; Soylent Corporation in Soylent Green ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6046"">DVD 6046Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:338"">vhs 999:338Ж","â€¢149; OCP (Omni Consumer Products) in RoboCop ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+678"">DVD 678Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1498"">vhs 999:1498Ж","â€¢149; BiffCo Enterprises in Back to the Future Part II ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4291"">DVD 4291Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:967"">vhs 999:967Ж","â€¢149; Rekall in Total Recall ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+870"">DVD 870Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3066"">vhs 999:3066Ж","â€¢149; Energy Corporation in Rollerball ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5579"">DVD 5579Ж","â€¢149; The ICS Network in The Running Man ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6148"">DVD 6148Ж","â€¢149; RDA Corporation in Avatar ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3118"">DVD X3118Ж","â€¢149;Milton, Chadwick & Waters in The Devil's Advocate ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4705"">DVD 4705Ж","â€¢149; MNU (Multi-National United) in District 9 ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2536"">DVD X2536Ж","â€¢149; Buy-N-Large in Wall-E ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X614"">DVD X614Ж","â€¢149; CHOAM Corporation in Dune ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+469"">DVD 469Ж","â€¢149; MomCorp in Futurama (TV) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1942"">DVD 1942Ж","â€¢149; Virtucon in Austin Powers: The Spy Who Shagged Me ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X845"">DVD X845Ж","â€¢149; Norsefire in V for Vendetta ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6060"">DVD 6060Ж","â€¢149; Globex in The Simpsons (TV) See Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">TV videographyЖ for call #s","â€¢149; The Parallax Corporation in The Parallax View ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3183"">vhs 999:3183Ж","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
